43,42,42,42,42,42,42,42,43,42,42,42,42,42,42,42,42,43,
42,42,42,42,42,43,42,42,42,42,42,42,42,42,43,42,42,42,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,43,
43,42,43,42,9,12,12,12,12,12,12,12,12,10,42,42,42,42,
42,42,42,42,13,44,1,1,1,1,1,1,44,11,42,42,42,42,
42,42,42,42,13,1,5,1,1,1,1,5,1,11,42,42,42,43,
42,43,42,42,13,1,3,1,15,1,45,1,1,11,42,42,42,43,
43,42,42,42,13,1,5,1,1,1,1,5,1,11,42,42,42,42,
43,42,42,42,13,1,1,44,1,1,1,1,1,11,42,43,42,43,
42,42,42,42,46,47,47,47,47,47,47,47,47,48,42,42,42,43,
42,42,43,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,
42,42,42,42,42,42,43,42,42,42,42,42,42,42,43,42,42,42,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,43
