43,42,42,42,43,42,42,43,42,42,42,43,42,42,42,43,
42,43,42,42,42,42,42,42,42,42,42,42,42,43,42,42,
42,42,42,42,42,43,42,42,43,42,42,42,43,42,42,42,
42,43,42,9,12,33,37,37,37,30,34,12,10,42,43,42,
42,42,42,13,1,31,18,17,17,19,31,1,11,42,42,42,
42,43,42,13,1,31,1,16,1,15,31,1,11,42,42,42,
42,42,42,13,1,31,1,1,1,1,31,1,11,43,42,42,
42,42,42,13,1,31,1,15,1,1,31,1,11,43,42,43,
43,42,43,13,1,31,5,1,1,5,31,1,11,42,42,42,
43,42,42,13,1,39,1,1,21,1,39,1,11,42,43,42,
42,42,42,13,1,18,17,26,27,17,17,1,11,42,42,43,
42,42,42,13,15,1,5,1,3,5,1,15,11,43,42,42,
42,43,42,8,14,14,14,14,14,14,14,14,7,42,42,42,
42,42,42,42,43,42,42,42,42,43,42,42,42,42,42,42,
42,43,42,42,42,43,42,43,42,42,42,43,42,43,42,43,
43,42,42,42,43,42,42,43,42,42,42,42,42,42,43,42
