42,43,42,42,42,42,42,42,43,42,42,43,42,43,43,43,43,
42,42,42,43,42,42,43,42,42,43,42,42,42,42,42,42,42,
43,42,42,42,43,42,42,43,42,42,43,42,43,42,42,42,42,
42,42,43,42,42,9,12,12,12,12,12,10,42,42,43,42,43,
43,42,42,42,43,13,1,1,1,1,1,11,42,43,42,42,43,
42,43,42,43,42,13,1,5,44,5,15,11,42,43,42,42,42,
42,43,42,42,42,13,1,1,1,3,1,11,43,42,42,43,42,
42,42,42,43,42,13,1,15,1,1,1,11,42,42,42,42,43,
43,42,43,42,42,13,44,5,1,5,1,11,43,42,42,42,43,
42,42,42,42,42,13,1,1,1,1,1,11,43,42,42,42,42,
43,42,42,43,42,46,47,47,47,47,47,48,42,42,42,43,42,
42,42,42,42,42,42,43,42,42,42,43,42,43,42,42,42,43,
43,42,42,43,42,43,42,43,43,42,42,43,42,42,42,42,43
