26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,
26,26,26,5,3,3,3,3,3,3,3,3,4,26,26,26,
26,26,26,6,31,0,27,0,0,25,0,0,7,26,26,26,
26,26,26,6,0,0,14,12,13,24,0,30,7,26,26,26,
26,26,26,6,0,0,18,19,17,23,0,0,7,26,26,26,
26,26,26,6,22,0,0,29,0,0,22,0,7,26,26,26,
26,26,26,6,0,25,0,22,0,0,0,0,7,26,26,26,
26,26,26,6,0,24,0,0,0,14,12,13,7,26,26,26,
26,26,26,6,0,24,22,28,0,18,19,17,7,26,26,26,
26,26,26,6,0,23,0,1,0,0,0,0,7,26,26,26,
26,26,26,8,9,9,9,9,9,9,9,9,10,26,26,26,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
