26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,
26,26,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,26,26,26,26,
26,26,6,14,12,12,12,12,12,12,12,12,12,12,12,12,12,13,7,26,26,
26,26,6,18,19,19,19,19,19,19,19,19,19,19,19,19,19,17,7,26,26,
26,26,33,22,0,0,0,0,0,22,0,0,22,0,0,0,0,22,32,26,26,
26,26,33,34,0,34,0,34,0,34,2,35,0,35,1,35,0,35,32,26,26,
26,26,33,22,0,0,0,0,0,22,0,0,22,0,0,0,0,22,32,26,26,
26,26,6,14,12,12,12,12,12,12,12,12,12,12,12,12,12,13,7,26,26,
26,26,6,18,19,19,19,19,19,19,19,19,19,19,19,19,19,17,7,26,26,
26,26,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,26,26,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
