42,42,43,43,42,42,43,42,42,43,43,42,42,42,43,42,42,42,42,42,
43,42,42,43,42,42,43,42,42,43,43,42,42,42,43,42,42,42,43,42,
42,42,42,43,42,42,43,42,42,43,43,42,42,42,43,42,42,43,42,42,
42,42,42,33,32,32,32,32,32,32,32,32,32,32,32,32,34,42,42,42,
42,42,42,31,1,1,1,1,1,1,1,1,1,1,1,1,31,42,42,42,
43,42,42,31,1,15,1,1,15,1,5,1,1,1,15,1,31,43,42,42,
42,43,42,31,1,1,1,1,1,1,1,1,1,1,1,1,31,42,42,42,
42,42,42,31,15,1,1,1,1,1,1,1,15,1,1,1,31,42,43,42,
43,42,42,31,1,22,23,1,5,1,1,1,1,1,15,1,31,42,42,42,
42,42,43,31,1,40,41,1,1,1,1,1,1,1,1,1,31,43,42,42,
43,43,42,31,1,18,19,1,1,1,15,1,1,22,23,1,31,42,42,42,
42,42,42,31,1,1,1,1,1,1,1,1,1,40,41,1,31,43,42,43,
42,42,42,31,1,1,1,5,1,1,1,1,1,18,19,1,31,42,42,42,
43,42,43,31,1,15,1,1,1,1,15,1,1,1,1,1,31,42,42,43,
42,42,42,31,29,1,1,1,1,1,3,1,1,1,1,1,31,42,42,42,
43,42,42,35,32,32,32,32,32,32,32,32,32,32,32,32,36,42,42,43,
42,42,43,18,17,17,17,17,17,17,17,17,17,17,17,17,19,43,42,42,
42,42,42,43,42,42,43,42,42,43,43,42,42,42,43,42,42,42,42,42,
42,42,42,43,42,42,43,42,42,43,43,42,42,42,43,42,42,42,42,42,
43,42,42,43,42,42,43,42,42,43,43,42,42,42,43,42,42,43,42,43
